step,sim_time,dt,advance_wall_time,reaction_wall_time,cumulative_wall_time
235,0.01561178435,0.0001278479367,0.245052111,0.148519877,58.332609426
236,0.01573963229,0.0001280365251,0.244605143,0.14827272000000002,58.577214569
237,0.01586766881,0.0001282049045,0.245440275,0.14835620900000002,58.822654844
238,0.01599587372,0.0001283747502,0.245225475,0.148661045,59.067880319
239,0.01612424847,0.0001285460393,0.244848848,0.14805453600000001,59.31272916699999
240,0.0162527945,0.0001287196573,0.245007305,0.147705806,59.557736471999995
241,0.01638151416,0.000128896539,0.245470957,0.147887078,59.803207429
242,0.0165104107,0.0001290778677,0.245926983,0.14852863900000002,60.049134411999994
243,0.01663948857,0.0001292649701,0.246694876,0.14948512,60.29582928799999
244,0.01676875354,0.0001294591525,0.245548248,0.149000247,60.54137753599999
245,0.01689821269,0.0001296617491,0.245288163,0.148677679,60.78666569899999
246,0.01702787444,0.0001298741297,0.245626614,0.149000346,61.03229231299999
247,0.01715774857,0.0001300977044,0.245682898,0.148769894,61.27797521099999
248,0.01728784627,0.0001302829508,0.24531038,0.148167417,61.52328559099999
249,0.01741812923,0.0001304324148,0.245168071,0.148190524,61.76845366199999
250,0.01754856164,0.0001305853501,0.24527044,0.14823308899999998,62.01372410199999
251,0.01767914699,0.0001307394078,0.245545137,0.1487476,62.25926923899999
252,0.0178098864,0.0001308951766,0.24568686,0.148601105,62.50495609899999
253,0.01794078157,0.0001310534633,0.248516112,0.15207954899999998,62.75347221099999
254,0.01807183504,0.000131215363,0.258737522,0.162058731,63.012209732999985
255,0.0182030504,0.0001313820929,0.246369192,0.148318825,63.25857892499999
256,0.01833443249,0.0001315548641,0.244930739,0.14797963,63.503509663999985
257,0.01846598736,0.0001317349133,0.24482562,0.14828217100000002,63.748335283999985
258,0.01859772227,0.0001319235047,0.249865686,0.153217707,63.998200969999985
259,0.01872964578,0.0001321219308,0.247528475,0.14905258999999998,64.24572944499998
260,0.01886176771,0.0001323040671,0.245921579,0.148499758,64.49165102399998
261,0.01899407177,0.0001324360369,0.245087266,0.14847243,64.73673828999998
262,0.01912650781,0.0001325721208,0.244737048,0.147909975,64.98147533799998
263,0.01925907993,0.000132709405,0.245747281,0.14794981899999998,65.22722261899999
264,0.01939178934,0.0001328479547,0.245796456,0.148569045,65.47301907499998
265,0.01952463729,0.0001329884595,0.246884931,0.14976245300000002,65.71990400599998
266,0.01965762575,0.0001331319117,0.244920545,0.14848788200000002,65.96482455099998
267,0.01979075766,0.0001046211688,0.245705658,0.14895811,66.21053020899998
268,0.01989537883,0.0001046211688,0.245494529,0.14864560599999999,66.45602473799998
269,0.02,0.0001150832857,0.245493046,0.148195929,66.70151778399998
270,0.02011508329,0.0001265916142,0.245778038,0.14882416599999998,66.94729582199997
271,0.0202416749,0.0001338151151,0.245065435,0.14852412999999998,67.19236125699997
272,0.02037549001,0.0001339940997,0.244660609,0.148303883,67.43702186599997
273,0.02050948411,0.0001341461023,0.2448669,0.14853012100000001,67.68188876599997
274,0.02064363022,0.0001342628938,0.245664481,0.148869396,67.92755324699998
275,0.02077789311,0.0001343833474,0.245978144,0.148936128,68.17353139099998
276,0.02091227646,0.000134504636,0.245777054,0.14915014,68.41930844499998
277,0.02104678109,0.0001346270378,0.245286672,0.14840195,68.66459511699999
278,0.02118140813,0.000134751277,0.245611756,0.148758713,68.91020687299999
279,0.02131615941,0.0001348783254,0.24508665,0.148577487,69.155293523
280,0.02145103773,0.0001350092013,0.245725391,0.14891312899999998,69.40101891399999
281,0.02158604694,0.0001351449322,0.245493279,0.14822317499999998,69.64651219299999
282,0.02172119187,0.0001352865771,0.244927663,0.148239128,69.89143985599999
283,0.02185647844,0.0001354352225,0.245206342,0.148095431,70.136646198
284,0.02199191367,0.0001355919729,0.245090847,0.148184845,70.381737045
285,0.02212750564,0.0001357287875,0.245180592,0.14829071700000002,70.62691763699999
286,0.02226323443,0.0001358289819,0.244484809,0.147770705,70.87140244599999
287,0.02239906341,0.0001359326981,0.245726665,0.14852446,71.117129111
288,0.02253499611,0.0001360379183,0.245214243,0.148374118,71.362343354
289,0.02267103403,0.0001361440254,0.244947626,0.147969967,71.60729098
290,0.02280717805,0.000136251512,0.24524637,0.147842251,71.85253735
291,0.02294342956,0.0001363613176,0.245236503,0.148179143,72.097773853
292,0.02307979088,0.0001364743472,0.245021231,0.148260601,72.342795084
293,0.02321626523,0.0001365915492,0.245456335,0.148627252,72.588251419
294,0.02335285678,0.0001367139004,0.247914303,0.150932659,72.836165722
295,0.02348957068,0.0001368423807,0.245543802,0.14851724700000002,73.081709524
296,0.02362641306,0.0001369779912,0.244943107,0.147430846,73.326652631
297,0.02376339105,0.0001371004886,0.245604375,0.147899404,73.572257006
298,0.02390049154,0.0001371852057,0.244852994,0.147947479,73.81711
299,0.02403767674,0.0001372725382,0.245431189,0.14802036899999998,74.062541189
300,0.02417494928,0.0001373617951,0.245593649,0.148001213,74.308134838
301,0.02431231108,0.0001374517072,0.24507798,0.148402046,74.553212818
302,0.02444976278,0.0001375427931,0.245387334,0.148254784,74.798600152
303,0.02458730558,0.0001376357798,0.245160421,0.14809076599999998,75.043760573
304,0.02472494136,0.0001375293213,0.244975731,0.14806686,75.288736304
305,0.02486247068,0.0001375293213,0.245554471,0.147943987,75.534290775
306,0.025,0.0001379341139,0.245071127,0.148211859,75.779361902
307,0.02513793411,0.0001380431809,0.245883435,0.149060986,76.025245337
308,0.02527597729,0.0001381585267,0.260742967,0.16316684199999998,76.285988304
309,0.02541413582,0.0001382655553,0.246330475,0.148620655,76.532318779
310,0.02555240138,0.0001383351194,0.246128753,0.148555528,76.77844753199999
311,0.0256907365,0.0001384065308,0.25267506,0.15535506999999998,77.03112259199999
312,0.02582914303,0.0001384800944,0.245465824,0.14866248799999998,77.27658841599998
313,0.02596762312,0.0001385541135,0.24552783,0.148707886,77.52211624599998
314,0.02610617723,0.0001386291367,0.244889744,0.148162629,77.76700598999999
315,0.02624480637,0.0001387057242,0.245614146,0.14861821,78.01262013599998
316,0.0263835121,0.0001387845632,0.25645778,0.15970035999999999,78.26907791599999
